식품명	식품대분류	1회제공량	내용량_단위	에너지(㎉)	단백질(g)	지방(g)	탄수화물(g)	총당류(g)	나트륨(㎎)	콜레스테롤(g)	콜레스테롤(㎎)	총 포화 지방산(g)	트랜스 지방산(g)
선 냉동 유부	가공두부	10	g	415	0	0	0	0	10	0	0	0	0
유부	가공두부	80	g	348.8	16.38	29.06	5.44	0	17.28	0	0	0	0
유부	가공두부	80	g	234.88	15.3	18.69	1.41	0	11.52	0	0	0	0
유부	가공두부	80	g	225.92	11.9	21.18	1.79	1.07	8.32	0	0	0	0
조미유부	가공두부	80	g	117.76	5.25	6.78	8.83	7.53	5.76	0	0	0	0
초밥유부	가공두부	80	g	148.91	11.56	7.72	8.79	1.07	225.71	0	0	0	0
초밥의 달인 나들이 행복기획	가공두부	80	g	150	6	6	17	17	720	0	5	1	0
유부	가공두부	80	g	234.88	15.3	18.69	1.41	0	11.52	0	0	0	0
조미유부	가공두부	80	g	117.76	5.25	6.78	8.83	7.53	5.76	0	0	0	0
초밥의 달인	가공두부	85	g	180	7	10	16	10	820	0	0	0.8	0
새콤달콤 유부초밥	가공두부	100	g	160	7	6	20	10	800	0	0	1.1	0
새콤달콤 유부초밥 가족나들이세트	가공두부	100	g	160	7	6	20	10	800	0	0	1.1	0
고소한 유부초밥	가공두부	100	g	200	12	10	20	15	1020	0	3	1.8	0
새콤달콤유부초밥 한정나들이세트	가공두부	100	g	160	7	6	20	11	850	0	0	1.1	0
클래식	가공두부	114	g	55	4	0.8	8	1	140	0	0	0	0
두부봉 치즈	가공두부	180	g	270	15	15	20	7	890	0	15	4.7	0.5
두부봉	가공두부	180	g	275	14	16	20	8	780	0	0	4.3	0.5
총각네 두유	가공두유	30	g	90	5	4.1	8	6	90	0	0	0.5	0
달콤한베지밀비	가공두유	100	mL	63	3	3.1	0	5	84	0	0	0.8	0
삼육두유 검은 콩 칼슘	가공두유	120	g	140	0	0	0	10	0	0	0	0	0
삼육두유검은콩호두와아몬드	가공두유	140	mL	150	0	6	0	10	160	0	0	0	0
삼육두유 검은콩호두와 아몬드	가공두유	140	mL	150	0	6	0	10	160	0	0	0	0
한살림 두유	가공두유	160	g	74	0	0	0	1.8	0	0	0	0	0
한살림 검은콩두유	가공두유	160	g	76	5	3.2	7	2	135	0	0	0.3	0
진양콩으로 진하게 짜낸 두유	가공두유	180	g	76	0	0	0	1	0	0	0	0	0
